Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
2022-08-07,Sun,Matchweek 1,Home,L 0–2,West Ham,Manchester City,N,FW,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0
2022-08-14,Sun,Matchweek 2,Away,L 0–1,West Ham,Nott'ham Forest,N,FW,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,0.0,0.0
2022-08-21,Sun,Matchweek 3,Home,L 0–2,West Ham,Brighton,N,"FW,AM",29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,4.0,8.0,50.0,0.0,0.0,0.0
2022-08-28,Sun,Matchweek 4,Away,W 1–0,West Ham,Aston Villa,Y,FW,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,9.0,13.0,69.2,0.0,2.0,3.0
2022-09-18,Sun,Matchweek 8,Away,L 0–1,West Ham,Everton,N,FW,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0
2022-10-01,Sat,Matchweek 9,Home,W 2–0,West Ham,Wolves,Y,FW,65.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,11.0,15.0,73.3,1.0,1.0,1.0
2022-10-09,Sun,Matchweek 10,Home,W 3–1,West Ham,Fulham,Y,FW,79.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,28.0,1.0,0.0,1.0,0.7,0.7,0.1,3.0,0.0,12.0,17.0,70.6,0.0,1.0,1.0
2022-10-16,Sun,Matchweek 11,Away,D 1–1,West Ham,Southampton,Y,FW,86.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.4,0.4,0.1,3.0,0.0,15.0,20.0,75.0,1.0,0.0,0.0
2022-10-19,Wed,Matchweek 12,Away,L 0–1,West Ham,Liverpool,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,3.0,10.0,30.0,1.0,0.0,0.0
2022-10-24,Mon,Matchweek 13,Home,W 2–0,West Ham,Bournemouth,Y,FW,73.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,8.0,13.0,61.5,1.0,0.0,2.0
2022-10-30,Sun,Matchweek 14,Away,L 0–1,West Ham,Manchester Utd,Y,FW,56.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.2,0.2,0.1,2.0,0.0,10.0,11.0,90.9,3.0,0.0,0.0
2022-11-06,Sun,Matchweek 15,Home,L 1–2,West Ham,Crystal Palace,Y,FW,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,1.0,0.0,1.0
2022-11-12,Sat,Matchweek 16,Home,L 0–2,West Ham,Leicester City,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,32.0,2.0,1.0,0.0,0.3,0.3,0.0,2.0,0.0,16.0,23.0,69.6,0.0,2.0,4.0
